Respondent_ID,Q1_Age,Q2_Gender,Q3_MaritalStatus,Q4_Employment,Q5_Income,Q6_TripsPerYear,Q7_HolidayType,Q8_Budget,Q9_Priorities,Q10_BookingAdvance,Q11_InfoSources,Q12_BookingPreference,Q13_Accommodation,Q14_Africa,Q14_EAsia,Q14_Europe,Q14_NAmerica,Q14_Oceania,Q14_SAmerica,Q14_SEAsia,Q15_Customization,Q16_AdventureInterest,Q17_CustomServices,Q18_TechTrends,Q19_FuturePriorities
73,35,Male,In a relationship/ Partnered,Unemployed,"A$30,000-A$59,999",3-5 times,Cultural,"1,361",Ease of planning/ Convenience,3-6 months,Travel agents,I prefer to plan everything myself.,Hotel,No,No,No,No,No,No,Yes,Important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
74,36,Male,Single,Unemployed,"A$150,000 or more",1-2 time(s),Relaxation,"6,836","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Guidebooks,I prefer a mix of both.,Hotel,No,No,No,No,Yes,No,No,Neutral,Not interested at all,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
75,36,Male,Married,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Cultural,"1,389",Food/ Cuisine,More than 6 months,Travel agents,I prefer to plan everything myself.,Hotel,No,No,Yes,No,No,Yes,No,Important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
76,36,Male,Married,Employed full-time,"A$60,000-A$99,999",0,Adventure,"4,596",Price,1-4 weeks,Travel blogs/ Websites,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,No,Neutral,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
77,37,Male,Married,Employed full-time,"A$100,000-A$149,999",3-5 times,Cultural,"3,229",Culture/ Local experience,More than 6 months,Travel blogs/ Websites,I prefer a mix of both.,Camping/ RV,No,No,Yes,No,No,No,Yes,Important,Neutral,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
78,37,Female,In a relationship/ Partnered,Retired,"A$60,000-A$99,999",3-5 times,Cultural,"4,278",Safety,3-6 months,Guidebooks,I prefer a mix of both.,Hostel,No,No,No,Yes,Yes,Yes,Yes,Neutral,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
79,37,Female,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Cultural,"1,783",Price,1-4 weeks,Guidebooks,I prefer package tours.,Camping/ RV,No,No,No,No,No,No,No,Important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
80,37,Female,In a relationship/ Partnered,Employed part-time,"A$30,000-A$59,999",1-2 time(s),Relaxation,"6,550","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Friends and family,I prefer to plan everything myself.,Hostel,No,No,Yes,No,No,Yes,Yes,Neutral,Somewhat interested,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
81,37,Female,In a relationship/ Partnered,Employed full-time,"A$150,000 or more",3-5 times,Adventure,"8,509",Price,3-6 months,Friends and family,I prefer to plan everything myself.,Hostel,No,No,No,No,Yes,No,Yes,Neutral,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
82,38,Male,Married,Self-employed,"A$150,000 or more",1-2 time(s),Urban,"3,968",Culture/ Local experience,1-4 weeks,Guidebooks,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
83,38,Female,Married,Employed full-time,"A$60,000-A$99,999",0,Cultural,"3,658",Culture/ Local experience,3-6 months,"Social media (e.g., Instragram, TikTok)",I prefer a mix of both.,Hotel,No,No,Yes,No,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
84,38,Male,Married,Employed part-time,"A$100,000-A$149,999",3-5 times,Adventure,"5,548",Ease of planning/ Convenience,3-6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,Yes,Yes,Yes,Yes,Yes,Yes,Important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
85,38,Male,Married,Employed full-time,"A$30,000-A$59,999",0,Adventure,"4,697","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Travel blogs/ Websites,I prefer package tours.,Camping/ RV,No,Yes,No,No,No,No,No,Slightly important,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
86,38,Female,Single,Self-employed,"A$30,000-A$59,999",1-2 time(s),Cultural,"5,249",Price,3-6 months,Travel agents,I prefer package tours.,Staying with friends or family,No,Yes,No,Yes,No,No,Yes,Neutral,Somewhat interested,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
87,38,Male,In a relationship/ Partnered,Employed full-time,"A$30,000-A$59,999",3-5 times,Cultural,"4,749",Safety,More than 6 months,Travel agents,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,Yes,No,Yes,Neutral,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
88,38,Female,Married,Employed full-time,"Less than A$30,000",0,Cultural,"3,965",Price,1-4 weeks,Travel agents,I prefer package tours.,Hotel,No,No,No,No,No,No,No,Not important at all,Neutral,Flexible payment plans or advanced budgeting tools,"Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
89,39,Male,In a relationship/ Partnered,Student,"A$100,000-A$149,999",1-2 time(s),Relaxation,"7,455",Safety,3-6 months,Guidebooks,I prefer package tours.,Hotel,No,Yes,Yes,No,No,No,No,Neutral,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
90,39,Male,In a relationship/ Partnered,Student,"Less than A$30,000",1-2 time(s),Cultural,"2,074","Destination’s natural environment (e.g., mountains, beach)",3-6 months,"Search engines (e.g., Google)",I prefer to plan everything myself.,Staying with friends or family,No,No,Yes,Yes,Yes,No,Yes,Not important at all,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
91,39,Female,Single,Employed full-time,"A$30,000-A$59,999",3-5 times,Adventure,"3,185",Culture/ Local experience,3-6 months,Travel agents,I prefer to plan everything myself.,Hotel,No,Yes,No,Yes,Yes,No,Yes,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
92,39,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Adventure,"7,081",Price,More than 6 months,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",Yes,Yes,No,Yes,Yes,No,No,Slightly important,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
93,39,Male,Married,Unemployed,"A$30,000-A$59,999",3-5 times,Relaxation,"1,302","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Travel blogs/ Websites,I prefer package tours.,Hotel,No,Yes,Yes,No,No,No,No,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
94,39,Female,Married,Employed full-time,"A$30,000-A$59,999",0,Adventure,"4,212","Destination’s natural environment (e.g., mountains, beach)",3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer a mix of both.,Hotel,Yes,No,No,No,Yes,Yes,No,Neutral,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
95,39,Female,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Adventure,"2,795",Safety,More than 6 months,Travel blogs/ Websites,I prefer a mix of both.,Staying with friends or family,No,Yes,Yes,No,No,No,Yes,Important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
96,39,Female,Single,Retired,"Less than A$30,000",1-2 time(s),Cultural,"2,888",Safety,3-6 months,"Search engines (e.g., Google)",I prefer to plan everything myself.,Hotel,No,No,No,No,No,Yes,No,Slightly important,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,Sustainable and responsible travel
97,39,Male,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Cultural,"2,275",Safety,1-4 weeks,"Social media (e.g., Instragram, TikTok)",I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,Yes,Slightly important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
98,40,Female,Married,Employed part-time,"A$60,000-A$99,999",0,Cultural,"6,669",Price,Within 1 week,Travel blogs/ Websites,I prefer package tours.,Hotel,No,Yes,Yes,No,No,No,Yes,Slightly important,Very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
99,40,Male,Married,Unemployed,"A$150,000 or more",1-2 time(s),Cultural,"6,605",Price,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,Yes,No,No,No,Yes,Yes,Neutral,Somewhat interested,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
100,40,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",6 times or more,Relaxation,"7,746",Food/ Cuisine,3-6 months,Travel blogs/ Websites,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,Yes,No,Yes,Important,Not very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
101,40,Female,Widowed,Self-employed,"A$150,000 or more",3-5 times,Cultural,"2,982",Food/ Cuisine,More than 6 months,Guidebooks,I prefer to plan everything myself.,Hostel,No,No,Yes,No,No,Yes,No,Extremely important,Somewhat interested,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
102,40,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"3,941",Safety,1-4 weeks,Friends and family,I prefer package tours.,Hostel,No,No,Yes,No,No,No,No,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
103,40,Female,Divorced/ Separated,Employed full-time,"A$30,000-A$59,999",0,Cultural,"5,237",Price,3-6 months,Travel blogs/ Websites,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,Yes,No,No,Yes,No,Yes,Not important at all,Not interested at all,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
104,40,Female,In a relationship/ Partnered,Self-employed,"A$60,000-A$99,999",0,Urban,"2,994","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Travel agents,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,Yes,Yes,No,No,No,Yes,Neutral,Neutral,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
105,40,Male,In a relationship/ Partnered,Employed part-time,"A$60,000-A$99,999",3-5 times,Relaxation,"3,180",Price,More than 6 months,"Search engines (e.g., Google)",I prefer package tours.,Staying with friends or family,No,Yes,Yes,No,Yes,No,Yes,Important,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
106,41,Male,Married,Student,"A$100,000-A$149,999",1-2 time(s),Cultural,"8,559",Food/ Cuisine,1-4 weeks,"Search engines (e.g., Google)",I prefer package tours.,Hotel,Yes,Yes,Yes,No,Yes,No,Yes,Neutral,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
107,41,Male,Widowed,Employed part-time,"A$60,000-A$99,999",0,Cultural,"3,059",Price,3-6 months,"Search engines (e.g., Google)",I prefer package tours.,Hotel,No,No,No,No,Yes,No,No,Slightly important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
108,41,Male,Married,Unemployed,"Less than A$30,000",0,Adventure,"3,334",Safety,3-6 months,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,Yes,No,Not important at all,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
109,41,Female,Widowed,Employed part-time,"A$60,000-A$99,999",3-5 times,Adventure,"2,092",Ease of planning/ Convenience,3-6 months,Travel agents,I prefer a mix of both.,Hotel,No,No,No,No,Yes,No,No,Important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
110,41,Female,Married,Unemployed,"A$100,000-A$149,999",1-2 time(s),Relaxation,"1,399",Safety,3-6 months,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,Yes,No,No,Neutral,Very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
111,41,Female,In a relationship/ Partnered,Student,"A$30,000-A$59,999",0,Adventure,"1,764",Activities/ Attractions,1-4 weeks,Travel blogs/ Websites,I prefer package tours.,Camping/ RV,No,Yes,Yes,No,No,Yes,No,Neutral,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
112,41,Male,Married,Employed full-time,"A$30,000-A$59,999",0,Adventure,"4,700",Activities/ Attractions,1-4 weeks,Friends and family,I prefer to plan everything myself.,Hotel,No,No,No,Yes,Yes,No,Yes,Slightly important,Very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
113,41,Male,In a relationship/ Partnered,Employed full-time,"A$150,000 or more",3-5 times,Adventure,"9,136",Price,3-6 months,Friends and family,I prefer package tours.,Hotel,No,No,Yes,No,No,Yes,No,Important,Not very interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Sustainable and responsible travel
114,41,Female,Single,Employed full-time,"Less than A$30,000",3-5 times,Urban,"2,924",Activities/ Attractions,More than 6 months,Guidebooks,I prefer package tours.,Camping/ RV,No,No,No,No,Yes,No,Yes,Slightly important,Neutral,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
115,41,Male,Married,Employed full-time,"A$60,000-A$99,999",0,Relaxation,"7,657",Price,3-6 months,Travel agents,I prefer package tours.,Hotel,No,No,Yes,No,No,No,No,Slightly important,Somewhat interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
116,42,Female,In a relationship/ Partnered,Retired,"A$60,000-A$99,999",1-2 time(s),Relaxation,"3,303","Flexibility (e.g., flight times, cancellation policies)",More than 6 months,Travel agents,I prefer package tours.,Hotel,No,No,Yes,No,No,Yes,No,Neutral,Neutral,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Sustainable and responsible travel
117,42,Female,Divorced/ Separated,Employed full-time,"A$30,000-A$59,999",0,Urban,"2,807",Activities/ Attractions,More than 6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer package tours.,Hotel,No,Yes,Yes,No,No,No,Yes,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
118,42,Male,In a relationship/ Partnered,Retired,"A$100,000-A$149,999",1-2 time(s),Urban,"2,476",Activities/ Attractions,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Camping/ RV,No,No,No,No,No,No,No,Slightly important,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
119,42,Male,In a relationship/ Partnered,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Cultural,"4,961",Activities/ Attractions,3-6 months,Friends and family,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
120,42,Female,In a relationship/ Partnered,Unemployed,"A$30,000-A$59,999",3-5 times,Cultural,"3,967",Activities/ Attractions,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hostel,No,No,No,No,No,No,Yes,Neutral,Neutral,Flexible payment plans or advanced budgeting tools,"Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
121,42,Female,Widowed,Employed full-time,"A$150,000 or more",1-2 time(s),Cultural,"6,385","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,No,No,No,No,No,Important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
122,43,Male,In a relationship/ Partnered,Employed part-time,"A$60,000-A$99,999",0,Cultural,"6,164",Ease of planning/ Convenience,1-4 weeks,"Social media (e.g., Instragram, TikTok)",I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",Yes,No,No,No,Yes,No,Yes,Not important at all,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
123,43,Female,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Cultural,"5,342",Ease of planning/ Convenience,1-4 weeks,Travel agents,I prefer to plan everything myself.,Hotel,No,No,No,No,No,No,No,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Sustainable and responsible travel
124,43,Female,In a relationship/ Partnered,Employed full-time,"A$30,000-A$59,999",3-5 times,Cultural,"2,768",Price,1-4 weeks,Travel blogs/ Websites,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,Yes,No,No,No,No,Yes,Important,Not interested at all,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
125,44,Female,In a relationship/ Partnered,Employed full-time,"Less than A$30,000",3-5 times,Relaxation,"4,945",Safety,More than 6 months,Friends and family,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,Yes,No,Yes,Neutral,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
126,44,Male,Divorced/ Separated,Employed full-time,"A$150,000 or more",1-2 time(s),Cultural,"9,736",Price,More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Staying with friends or family,No,No,No,No,No,Yes,No,Neutral,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
127,44,Female,Divorced/ Separated,Student,"A$150,000 or more",3-5 times,Urban,"5,561",Food/ Cuisine,3-6 months,Guidebooks,I prefer to plan everything myself.,Camping/ RV,No,Yes,Yes,No,No,Yes,Yes,Important,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
128,44,Male,In a relationship/ Partnered,Student,"A$100,000-A$149,999",1-2 time(s),Cultural,"4,064",Food/ Cuisine,1-4 weeks,Travel blogs/ Websites,I prefer to plan everything myself.,Hostel,No,No,No,No,No,Yes,Yes,Neutral,Very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
129,44,Female,Married,Employed part-time,"A$30,000-A$59,999",1-2 time(s),Urban,"2,128",Ease of planning/ Convenience,3-6 months,Travel blogs/ Websites,I prefer package tours.,Staying with friends or family,No,No,No,Yes,No,No,No,Slightly important,Neutral,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
130,44,Female,In a relationship/ Partnered,Employed full-time,"A$100,000-A$149,999",3-5 times,Cultural,"6,000","Destination’s natural environment (e.g., mountains, beach)",3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,Yes,Neutral,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
131,44,Male,Single,Student,"A$150,000 or more",1-2 time(s),Relaxation,"6,709",Safety,3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer to plan everything myself.,Hotel,No,Yes,No,No,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
132,44,Male,Married,Unemployed,"A$60,000-A$99,999",1-2 time(s),Cultural,"4,627",Ease of planning/ Convenience,1-4 weeks,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,Yes,Neutral,Very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
133,45,Female,In a relationship/ Partnered,Unemployed,"A$150,000 or more",3-5 times,Cultural,"5,305",Price,3-6 months,Travel agents,I prefer to plan everything myself.,Hotel,No,No,No,Yes,Yes,Yes,Yes,Important,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Sustainable and responsible travel
134,45,Male,Married,Unemployed,"A$30,000-A$59,999",3-5 times,Cultural,"6,407",Ease of planning/ Convenience,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Camping/ RV,No,No,Yes,No,No,No,No,Important,Neutral,Flexible payment plans or advanced budgeting tools,"Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
135,45,Male,Divorced/ Separated,Unemployed,"A$100,000-A$149,999",1-2 time(s),Relaxation,"3,632","Flexibility (e.g., flight times, cancellation policies)",3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,No,No,No,Neutral,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
136,45,Female,In a relationship/ Partnered,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Relaxation,"1,282",Safety,More than 6 months,Guidebooks,I prefer a mix of both.,Hotel,No,Yes,Yes,No,No,No,No,Neutral,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
137,45,Male,Single,Unemployed,"A$30,000-A$59,999",1-2 time(s),Urban,"1,304",Culture/ Local experience,3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer to plan everything myself.,Camping/ RV,No,No,No,No,Yes,No,No,Neutral,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Sustainable and responsible travel
138,45,Female,Single,Employed part-time,"A$150,000 or more",1-2 time(s),Cultural,"5,614",Price,1-4 weeks,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,Yes,Yes,No,No,No,Yes,Not important at all,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
139,45,Female,Divorced/ Separated,Unemployed,"A$150,000 or more",3-5 times,Relaxation,"7,472",Safety,3-6 months,Travel agents,I prefer to plan everything myself.,Camping/ RV,No,Yes,Yes,Yes,Yes,No,No,Important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
140,45,Female,Single,Unemployed,"A$150,000 or more",1-2 time(s),Adventure,"9,526",Price,3-6 months,Guidebooks,I prefer to plan everything myself.,Hotel,No,Yes,Yes,No,No,No,No,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
141,46,Male,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Cultural,"5,497",Price,More than 6 months,"Search engines (e.g., Google)",I prefer a mix of both.,Hotel,Yes,No,No,Yes,Yes,Yes,Yes,Important,Neutral,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
142,46,Female,Married,Employed full-time,"A$100,000-A$149,999",3-5 times,Relaxation,"7,553",Ease of planning/ Convenience,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hostel,No,No,No,No,Yes,No,No,Important,Not very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Sustainable and responsible travel
143,46,Female,In a relationship/ Partnered,Student,"A$100,000-A$149,999",3-5 times,Cultural,"6,732",Safety,3-6 months,Travel blogs/ Websites,I prefer package tours.,Staying with friends or family,No,No,Yes,No,No,Yes,No,Neutral,Neutral,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
144,46,Male,Married,Employed full-time,"A$30,000-A$59,999",0,Relaxation,"2,768",Activities/ Attractions,3-6 months,Travel agents,I prefer a mix of both.,Hotel,No,No,No,No,No,No,Yes,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Sustainable and responsible travel
145,46,Male,Divorced/ Separated,Employed part-time,"A$100,000-A$149,999",1-2 time(s),Cultural,"3,201",Ease of planning/ Convenience,More than 6 months,"Social media (e.g., Instragram, TikTok)",I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,Yes,No,No,Important,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
